OBJECTID,N_SQ_EP,L_EP_MAJ,L_EP_MIN,C_CAINSEE,C_POSTAL,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,C_NIV1,C_NIV2,C_NIV3,B_PUBLIC,C_GESTION,D_ANNEE_CR,B_SITE,B_MONUMENT,B_LOGISTIQ,L_INF_COMP,LIB_QL1,VAL_QL1,LIB_QL2,VAL_QL2,LIB_QL3,VAL_QL3,LIB_QN1,VAL_QN1,LIB_QN2,VAL_QN2,LIB_QN3,VAL_QN3,N_SQ_CO,N_SQ_AR,N_SQ_EE,B_LOCAL,B_TERRITOR,B_METROPOL,C_MET,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,N_SQ_IR
1001,753002986,"JARDIN DES ROSIERS JOSEPH-MIGNERET","Jardin des Rosiers Joseph-Migneret",75104,75004,37,"NULL","NULL","NULL","RUE","NULL","FRANCS BOURGEOIS",15,151,15112,"O","M",2007,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000004,750000219,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:54.000Z",750004533
1002,753002822,"PROMENADE PLANTÉE - AVENUE EMILE LAURENT","Promenade Plantée - Avenue Emile Laurent",75112,75002,2,"NULL","NULL","NULL","AVENUE","NULL","EMILE LAURENT",15,151,15112,"O","M",1989,"NULL","NULL","NULL","NULL","37","O","38","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000012,750004995,"NULL","NULL","NULL","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:57.000Z",750004881
1003,753003255,"ALLÉE VERTE","Allée Verte",75111,75001,1,"B","NULL","NULL","ALLEE","NULL","VERTE",15,151,15112,"O","M",1997,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000011,750005006,"NULL","NULL","NULL","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:51.000Z",750004503
1004,753002930,"PARC DE BELLEVILLE","Parc de Belleville",75120,75000,45,"NULL","NULL","NULL","RUE","NULL","COURONNES",15,151,15112,"O","M",1988,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000020,750005363,"O","O","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:55.000Z",750004285
1005,753002381,"JARDIN DE LA DASCO RUE DE L'ARSENAL","Jardin de la DASCO Rue de l'Arsenal",75104,75004,3,"NULL","NULL","NULL","RUE","NULL","ARSENAL",15,152,15211,"N","M",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000004,750004921,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:57.000Z",750004617
1006,753003113,"SQUARE NADAR","Square Nadar",75118,75008,2,"NULL","NULL","NULL","RUE","NULL","SAINT ELEUTHERE",15,151,15112,"O","M",1927,"NULL","NULL","NULL","NULL","37","O","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000018,750002644,"O","O","O","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:57.000Z",750004129
1007,753002975,"SQUARE AUGUSTE RENOIR","Square Auguste Renoir",75114,75004,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,151,15112,"O","M",0,"NULL","NULL","NULL","NULL","37","O","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000014,750005395,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:51.000Z",750004822
1008,753003268,"SQUARE CLAUDE DEBUSSY","Square Claude Debussy",75116,75006,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,151,15112,"O","M",2009,"NULL","NULL","NULL","NULL","37","O","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000016,750002256,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:51.000Z",750004306
1009,753002998,"SQUARE MARIN LA MESLEE","Square Marin La Meslee",75115,75005,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,151,15112,"O","M",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000015,750001908,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:57.000Z",750004426
1010,753003082,"SQUARE DU BOULEVARD D'ALGERIE","Square du Boulevard d'algerie",75119,75009,0,"NULL","NULL","NULL","NULL","NULL","NULL",15,151,15112,"O","M",1971,"NULL","NULL","NULL","NULL","37","O","38","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000019,750002866,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-06-15T11:20:57.000Z",750004868
